Bulan,SUM of Inflasi mom,"<b>Aug-2025<br>0,26</b>"
Thu Dec 01 2011 00:00:00 GMT+0700 (Western Indonesia Time),0.57,0.57
Sun Jan 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.76,0.76
Wed Feb 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.05,0.05
Thu Mar 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.07,0.07
Sun Apr 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.21,0.21
Tue May 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.07,0.07
Fri Jun 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.62,0.62
Sun Jul 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.7,0.7
Wed Aug 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.95,0.95
Sat Sep 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.01,0.01
Mon Oct 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.16,0.16
Thu Nov 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.07,0.07
Sat Dec 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),0.54,0.54
Tue Jan 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),1.03,1.03
Fri Feb 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),0.75,0.75
Fri Mar 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),0.63,0.63
Mon Apr 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),-0.1,-0.1
Wed May 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),-0.03,-0.03
Sat Jun 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),1.03,1.03
Mon Jul 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),3.29,3.29
Thu Aug 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),1.12,1.12
Sun Sep 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),-0.35,-0.35
Tue Oct 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),0.09,0.09
Fri Nov 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),0.12,0.12
Sun Dec 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),0.55,0.55
Wed Jan 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),1.07,1.07
Sat Feb 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.26,0.26
Sat Mar 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.08,0.08
Tue Apr 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),-0.02,-0.02
Thu May 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.16,0.16
Sun Jun 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.43,0.43
Tue Jul 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.93,0.93
Fri Aug 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.47,0.47
Mon Sep 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.27,0.27
Wed Oct 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),0.47,0.47
Sat Nov 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),1.5,1.5
Mon Dec 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),2.46,2.46
Thu Jan 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),-0.24,-0.24
Sun Feb 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),-0.36,-0.36
Sun Mar 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.17,0.17
Wed Apr 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.36,0.36
Fri May 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.5,0.5
Mon Jun 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.54,0.54
Wed Jul 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.93,0.93
Sat Aug 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.39,0.39
Tue Sep 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),-0.05,-0.05
Thu Oct 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),-0.08,-0.08
Sun Nov 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.21,0.21
Tue Dec 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),0.96,0.96
Fri Jan 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.51,0.51
Mon Feb 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),-0.09,-0.09
Tue Mar 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.19,0.19
Fri Apr 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),-0.45,-0.45
Sun May 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.24,0.24
Wed Jun 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.66,0.66
